epoch,F1,loss,precision,recall,val_F1,val_loss,val_precision,val_recall
175,"""[0.8760245]""",0.03890138119459152,0.8760250210762024,0.9451192021369934,"""[0.8907889]""",0.3071843981742859,0.8907894492149353,0.5248062014579773
176,"""[0.8784872]""",0.03769855946302414,0.8784877061843872,0.9442195296287537,"""[0.8942416]""",0.26509523391723633,0.8942420482635498,0.5899224877357483
177,"""[0.87914646]""",0.03539484366774559,0.879146933555603,0.9457190036773682,"""[0.88369393]""",0.26627713441848755,0.8836944103240967,0.6007751822471619
178,"""[0.88227856]""",0.034311261028051376,0.8822790384292603,0.9473684430122375,"""[0.8720796]""",0.2700572907924652,0.8720800876617432,0.6077519655227661
179,"""[0.88317645]""",0.03502655029296875,0.8831769227981567,0.9454191327095032,"""[0.87792426]""",0.2444278448820114,0.8779247403144836,0.6689922213554382
180,"""[0.8773962]""",0.040457721799612045,0.8773967623710632,0.9400209784507751,"""[0.8879051]""",0.24855372309684753,0.8879055976867676,0.699999988079071
181,"""[0.8741791]""",0.04282708466053009,0.8741796016693115,0.9386714696884155,"""[0.87110585]""",0.3178184926509857,0.8711063265800476,0.6286821961402893
182,"""[0.87174076]""",0.043471161276102066,0.8717412352561951,0.9376218318939209,"""[0.8661412]""",0.34237340092658997,0.8661417365074158,0.5968992114067078
183,"""[0.87260205]""",0.04621901735663414,0.8726025223731995,0.9346228837966919,"""[0.84245026]""",0.3562018573284149,0.842450737953186,0.5968992114067078
184,"""[0.8648869]""",0.04885438457131386,0.8648874163627625,0.9329734444618225,"""[0.83585054]""",0.305481493473053,0.8358509540557861,0.643410861492157
185,"""[0.8494135]""",0.0506962351500988,0.8494139909744263,0.9346228837966919,"""[0.8225801]""",0.2899722754955292,0.8225806355476379,0.5534883737564087
186,"""[0.8483563]""",0.0498712956905365,0.8483567237854004,0.9328235387802124,"""[0.824306]""",0.3423060178756714,0.8243064880371094,0.48372092843055725
